epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.879263,0.00023,1,1,0.01881,1.667e-05,1.667e-05,1.667e-05
2,1.781,0.00048,1,1,0.01978,4.95149e-05,4.95149e-05,4.95149e-05
3,2.67876,0.01214,1,1,0.01491,8.16997e-05,8.16997e-05,8.16997e-05
4,3.58123,0.00181,1,1,0.01623,0.000113224,0.000113224,0.000113224
5,4.48015,0.00126,1,1,0.0162,0.000144089,0.000144089,0.000144089
6,5.38081,0.00043,1,1,0.01196,0.000174293,0.000174293,0.000174293
7,6.28492,0.01254,1,1,0.00947,0.000203837,0.000203837,0.000203837
8,7.19047,0.00061,1,1,0.00762,0.000232722,0.000232722,0.000232722
9,8.08875,0.00074,1,1,0.01083,0.000260946,0.000260946,0.000260946
10,8.98376,0.00026,1,1,0.01505,0.000288509,0.000288509,0.000288509
11,9.87681,0.0008,1,1,0.02461,0.000315413,0.000315413,0.000315413
12,10.7728,0.00044,1,1,0.03031,0.000341657,0.000341657,0.000341657
13,11.6605,0.00012,1,1,0.0282,0.00036724,0.00036724,0.00036724
14,12.5549,0.00022,1,1,0.04569,0.000392163,0.000392163,0.000392163
15,13.4479,0.002,1,1,0.02909,0.000416427,0.000416427,0.000416427
16,14.3442,6e-05,1,1,0.03226,0.00044003,0.00044003,0.00044003
17,15.2316,7e-05,1,1,0.05219,0.000462973,0.000462973,0.000462973
18,16.1263,0.081,1,1,0.05191,0.000485255,0.000485255,0.000485255
19,17.0222,0.00058,1,1,0.05502,0.000506878,0.000506878,0.000506878
20,17.9176,0.0157,1,1,0.05324,0.000527841,0.000527841,0.000527841
21,18.8093,0.03443,1,1,0.05194,0.000548143,0.000548143,0.000548143
22,19.7041,0.29998,1,1,0.06854,0.000567785,0.000567785,0.000567785
23,20.5969,0.00047,1,1,0.07972,0.000586767,0.000586767,0.000586767
24,21.4875,0.02275,0.75,1,0.19983,0.000605089,0.000605089,0.000605089
25,22.3831,0.53243,0.75,1,0.32877,0.000622751,0.000622751,0.000622751
26,23.2809,0.01,0.5,1,1.25617,0.000639753,0.000639753,0.000639753
27,24.1723,0.00106,0.5,1,2.03713,0.000656095,0.000656095,0.000656095
28,25.0594,0.82015,0.5,1,2.03713,0.000671776,0.000671776,0.000671776
29,25.9495,0.1222,0.5,1,3.53473,0.000686797,0.000686797,0.000686797
30,26.8407,0.00121,0.5,1,3.95492,0.000701159,0.000701159,0.000701159
31,27.7277,0.01716,0.5,1,3.95492,0.00071486,0.00071486,0.00071486
32,28.6182,0.01264,0.5,1,4.02088,0.000727901,0.000727901,0.000727901
33,29.5079,0.00335,0.5,1,3.6704,0.000740281,0.000740281,0.000740281
34,30.3908,0.00052,0.5,1,3.6704,0.000752002,0.000752002,0.000752002
35,31.277,0.03707,0.5,1,3.65001,0.000763063,0.000763063,0.000763063
36,32.1691,0.00219,0.75,1,3.05046,0.000773463,0.000773463,0.000773463
37,33.0527,0.00824,0.75,1,3.05046,0.000783203,0.000783203,0.000783203
38,33.9422,0.0017,0.75,1,2.63676,0.000792283,0.000792283,0.000792283
39,34.8366,0.0027,0.75,1,2.26727,0.000800703,0.000800703,0.000800703
40,35.7185,0.60126,0.75,1,2.26727,0.000808463,0.000808463,0.000808463
41,36.607,0.01508,0.75,1,1.79714,0.000815563,0.000815563,0.000815563
42,37.5013,0.01032,0.75,1,1.42909,0.000822003,0.000822003,0.000822003
43,38.3859,0.00107,0.75,1,1.42909,0.000827782,0.000827782,0.000827782
44,39.2769,0.00186,0.75,1,0.88449,0.000832902,0.000832902,0.000832902
45,40.1597,0.00258,0.75,1,0.88449,0.000837361,0.000837361,0.000837361
46,41.0482,0.02636,0.75,1,0.79219,0.00084116,0.00084116,0.00084116
47,41.9305,0.00341,0.75,1,0.79219,0.000844299,0.000844299,0.000844299
48,42.8235,0.00666,0.75,1,0.87817,0.000846778,0.000846778,0.000846778
49,43.7078,0.01973,0.75,1,0.87817,0.000848596,0.000848596,0.000848596
50,44.6479,0.32964,0.75,1,0.92131,0.000849755,0.000849755,0.000849755
51,45.5244,0.00424,0.75,1,0.92131,0.000841835,0.000841835,0.000841835
52,46.415,0.01556,0.75,1,0.6883,0.000825332,0.000825332,0.000825332
53,47.3024,0.00706,0.75,1,0.6883,0.000808828,0.000808828,0.000808828
54,48.1986,0.00043,0.75,1,0.79649,0.000792325,0.000792325,0.000792325
55,49.0847,0.02557,0.75,1,0.79649,0.000775822,0.000775822,0.000775822
56,49.9761,0.02098,0.75,1,0.72954,0.000759318,0.000759318,0.000759318
57,50.8795,0.03688,0.75,1,0.72954,0.000742815,0.000742815,0.000742815
58,51.7669,0.00598,0.75,1,0.70832,0.000726312,0.000726312,0.000726312
59,52.6505,0.00879,0.75,1,0.70832,0.000709809,0.000709809,0.000709809
