epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.875954,0.00143,1,1,0.08045,1.667e-05,1.667e-05,1.667e-05
2,1.78098,0.73185,0.75,1,0.42329,4.95149e-05,4.95149e-05,4.95149e-05
3,2.67459,0,0.75,1,0.32753,8.16997e-05,8.16997e-05,8.16997e-05
4,3.57107,2e-05,0.75,1,0.53324,0.000113224,0.000113224,0.000113224
5,4.47259,0.00097,0.75,1,0.50876,0.000144089,0.000144089,0.000144089
6,5.36629,0.00033,0.75,1,0.47395,0.000174293,0.000174293,0.000174293
7,6.26772,0.0003,0.75,1,0.55039,0.000203837,0.000203837,0.000203837
8,7.17152,0.00012,0.75,1,0.6985,0.000232722,0.000232722,0.000232722
9,8.06448,2e-05,0.75,1,0.71778,0.000260946,0.000260946,0.000260946
10,8.96251,0,0.75,1,0.92671,0.000288509,0.000288509,0.000288509
11,9.86394,0,0.75,1,1.00597,0.000315413,0.000315413,0.000315413
12,10.7609,1e-05,0.75,1,1.42111,0.000341657,0.000341657,0.000341657
13,11.6534,2e-05,0.75,1,1.28123,0.00036724,0.00036724,0.00036724
14,12.5424,0,0.75,1,1.40908,0.000392163,0.000392163,0.000392163
15,13.4385,1e-05,0.75,1,1.20252,0.000416427,0.000416427,0.000416427
16,14.3303,0,0.75,1,1.77069,0.00044003,0.00044003,0.00044003
17,15.2153,0,0.75,1,1.63914,0.000462973,0.000462973,0.000462973
18,16.1028,0,0.75,1,1.4986,0.000485255,0.000485255,0.000485255
19,16.9979,2e-05,0.75,1,1.98207,0.000506878,0.000506878,0.000506878
20,17.8867,1e-05,0.75,1,2.64864,0.000527841,0.000527841,0.000527841
21,18.7783,1e-05,0.75,1,2.27621,0.000548143,0.000548143,0.000548143
22,19.6613,0,0.75,1,2.76989,0.000567785,0.000567785,0.000567785
23,20.547,0.0015,0.75,1,2.32816,0.000586767,0.000586767,0.000586767
24,21.436,1e-05,0.75,1,2.14949,0.000605089,0.000605089,0.000605089
25,22.3197,0.00016,0.75,1,1.87971,0.000622751,0.000622751,0.000622751
26,23.1986,0,0.75,1,2.30449,0.000639753,0.000639753,0.000639753
27,24.0927,2e-05,0.75,1,2.0783,0.000656095,0.000656095,0.000656095
28,24.9787,0,0.75,1,2.0783,0.000671776,0.000671776,0.000671776
29,25.863,0.00032,0.75,1,2.3651,0.000686797,0.000686797,0.000686797
30,26.7494,0.00444,0.75,1,2.39967,0.000701159,0.000701159,0.000701159
31,27.6275,3e-05,0.75,1,2.39967,0.00071486,0.00071486,0.00071486
32,28.514,0,0.75,1,2.5195,0.000727901,0.000727901,0.000727901
33,29.3972,1e-05,0.75,1,2.55207,0.000740281,0.000740281,0.000740281
34,30.2794,0,0.75,1,2.55207,0.000752002,0.000752002,0.000752002
35,31.1716,0.00012,0.75,1,2.177,0.000763063,0.000763063,0.000763063
36,32.0556,0,0.75,1,1.68561,0.000773463,0.000773463,0.000773463
37,32.9376,0,0.75,1,1.68561,0.000783203,0.000783203,0.000783203
38,33.8249,0,0.75,1,1.99206,0.000792283,0.000792283,0.000792283
39,34.7123,0,0.75,1,1.92106,0.000800703,0.000800703,0.000800703
40,35.5933,0,0.75,1,1.92106,0.000808463,0.000808463,0.000808463
41,36.4892,1e-05,0.75,1,2.05797,0.000815563,0.000815563,0.000815563
42,37.3759,1e-05,0.75,1,1.74966,0.000822003,0.000822003,0.000822003
43,38.2547,0,0.75,1,1.74966,0.000827782,0.000827782,0.000827782
44,39.1403,2e-05,0.75,1,1.86937,0.000832902,0.000832902,0.000832902
45,40.0178,0.00364,0.75,1,1.86937,0.000837361,0.000837361,0.000837361
46,40.9039,1e-05,0.75,1,1.97101,0.00084116,0.00084116,0.00084116
47,41.7863,0,0.75,1,1.97101,0.000844299,0.000844299,0.000844299
48,42.6746,0.0001,0.75,1,2.96159,0.000846778,0.000846778,0.000846778
49,43.559,1e-05,0.75,1,2.96159,0.000848596,0.000848596,0.000848596
50,44.5112,1e-05,0.75,1,3.50563,0.000849755,0.000849755,0.000849755
51,45.3896,0,0.75,1,3.50563,0.000841835,0.000841835,0.000841835
52,46.278,0.00016,0.75,1,3.96436,0.000825332,0.000825332,0.000825332
53,47.1595,0,0.75,1,3.96436,0.000808828,0.000808828,0.000808828
54,48.0525,0,0.75,1,4.08348,0.000792325,0.000792325,0.000792325
55,48.9395,0.00045,0.75,1,4.08348,0.000775822,0.000775822,0.000775822
56,49.8385,1e-05,0.75,1,5.51072,0.000759318,0.000759318,0.000759318
57,50.7165,0,0.75,1,5.51072,0.000742815,0.000742815,0.000742815
58,51.6029,0,0.75,1,5.6875,0.000726312,0.000726312,0.000726312
59,52.4847,1e-05,0.75,1,5.6875,0.000709809,0.000709809,0.000709809
60,53.3775,0,0.75,1,6.24256,0.000693305,0.000693305,0.000693305
61,54.2599,0,0.75,1,6.24256,0.000676802,0.000676802,0.000676802
62,55.1528,0,0.75,1,6.77378,0.000660299,0.000660299,0.000660299
63,56.0336,0.0001,0.75,1,6.77378,0.000643795,0.000643795,0.000643795
64,56.9401,0,0.75,1,6.28076,0.000627292,0.000627292,0.000627292
65,57.8185,0.00039,0.75,1,6.28076,0.000610789,0.000610789,0.000610789
66,58.7059,0.00914,0.75,1,7.0386,0.000594286,0.000594286,0.000594286
67,59.5877,0,0.75,1,7.0386,0.000577782,0.000577782,0.000577782
68,60.4796,0,0.75,1,7.26209,0.000561279,0.000561279,0.000561279
69,61.3607,0,0.75,1,7.26209,0.000544776,0.000544776,0.000544776
70,62.248,0,0.75,1,6.76827,0.000528272,0.000528272,0.000528272
71,63.1293,0.00023,0.75,1,6.76827,0.000511769,0.000511769,0.000511769
72,64.021,0,0.75,1,5.7765,0.000495266,0.000495266,0.000495266
73,64.9072,0,0.75,1,5.7765,0.000478762,0.000478762,0.000478762
74,65.7924,0,0.75,1,5.4504,0.000462259,0.000462259,0.000462259
75,66.6822,0,0.75,1,5.4504,0.000445756,0.000445756,0.000445756
76,67.5713,0.00021,0.75,1,5.47932,0.000429253,0.000429253,0.000429253
77,68.4513,0,0.75,1,5.47932,0.000412749,0.000412749,0.000412749
78,69.3352,0,0.75,1,5.98803,0.000396246,0.000396246,0.000396246
79,70.2148,0.01406,0.75,1,5.98803,0.000379743,0.000379743,0.000379743
80,71.109,0,0.75,1,6.85902,0.000363239,0.000363239,0.000363239
81,71.9962,2.26486,0.75,1,6.85902,0.000346736,0.000346736,0.000346736
82,72.88,3e-05,0.75,1,6.69644,0.000330233,0.000330233,0.000330233
83,73.7587,1e-05,0.75,1,6.69644,0.000313729,0.000313729,0.000313729
84,74.6536,0,0.75,1,6.06324,0.000297226,0.000297226,0.000297226
85,75.5436,2e-05,0.75,1,6.06324,0.000280723,0.000280723,0.000280723
86,76.4334,0.00013,0.75,1,4.66442,0.00026422,0.00026422,0.00026422
87,77.3195,0,0.75,1,4.66442,0.000247716,0.000247716,0.000247716
88,78.2065,0.00019,0.75,1,3.87956,0.000231213,0.000231213,0.000231213
89,79.0925,1e-05,0.75,1,3.87956,0.00021471,0.00021471,0.00021471
90,79.9828,1e-05,0.75,1,3.76085,0.000198206,0.000198206,0.000198206
91,80.8687,0.00337,0.75,1,3.76085,0.000181703,0.000181703,0.000181703
92,81.7604,0,0.75,1,3.35507,0.0001652,0.0001652,0.0001652
93,82.6436,7e-05,0.75,1,3.35507,0.000148696,0.000148696,0.000148696
94,83.5333,0.00014,0.75,1,3.89884,0.000132193,0.000132193,0.000132193
95,84.4151,0.00061,0.75,1,3.89884,0.00011569,0.00011569,0.00011569
96,85.3014,0.0018,0.75,1,3.09461,9.91865e-05,9.91865e-05,9.91865e-05
97,86.1899,1e-05,0.75,1,3.09461,8.26832e-05,8.26832e-05,8.26832e-05
98,87.0849,2e-05,0.75,1,4.74556,6.61799e-05,6.61799e-05,6.61799e-05
99,87.9648,1e-05,0.75,1,4.74556,4.96766e-05,4.96766e-05,4.96766e-05
100,88.8495,3e-05,0.75,1,4.73509,3.31733e-05,3.31733e-05,3.31733e-05
