epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.874174,0.00187,1,1,0.14772,1.667e-05,1.667e-05,1.667e-05
2,1.77863,0.10306,1,1,0.11091,4.95149e-05,4.95149e-05,4.95149e-05
3,2.67507,3e-05,1,1,0.08746,8.16997e-05,8.16997e-05,8.16997e-05
4,3.57389,0,1,1,0.1246,0.000113224,0.000113224,0.000113224
5,4.47114,2e-05,1,1,0.09883,0.000144089,0.000144089,0.000144089
6,5.37121,2e-05,1,1,0.07757,0.000174293,0.000174293,0.000174293
7,6.27149,0,1,1,0.05077,0.000203837,0.000203837,0.000203837
8,7.17543,1e-05,1,1,0.03522,0.000232722,0.000232722,0.000232722
9,8.071,0.00026,1,1,0.04007,0.000260946,0.000260946,0.000260946
10,8.97101,3e-05,1,1,0.06333,0.000288509,0.000288509,0.000288509
11,9.86229,7e-05,1,1,0.06376,0.000315413,0.000315413,0.000315413
12,10.7566,7e-05,1,1,0.12518,0.000341657,0.000341657,0.000341657
13,11.6532,3e-05,1,1,0.12968,0.00036724,0.00036724,0.00036724
14,12.549,0,1,1,0.12901,0.000392163,0.000392163,0.000392163
15,13.4413,4e-05,1,1,0.07634,0.000416427,0.000416427,0.000416427
16,14.3396,6e-05,1,1,0.14009,0.00044003,0.00044003,0.00044003
17,15.227,0,1,1,0.1116,0.000462973,0.000462973,0.000462973
18,16.1163,0.00047,1,1,0.09184,0.000485255,0.000485255,0.000485255
19,17.0133,0.0038,0.75,1,0.29507,0.000506878,0.000506878,0.000506878
20,17.9022,7e-05,0.75,1,0.4846,0.000527841,0.000527841,0.000527841
21,18.7927,0.01797,0.75,1,0.46301,0.000548143,0.000548143,0.000548143
22,19.6761,3e-05,0.75,1,0.54956,0.000567785,0.000567785,0.000567785
23,20.5645,1e-05,0.75,1,0.3205,0.000586767,0.000586767,0.000586767
24,21.4482,0.00106,0.75,1,0.19272,0.000605089,0.000605089,0.000605089
25,22.3381,0.00043,1,1,0.07292,0.000622751,0.000622751,0.000622751
26,23.2366,0,1,1,0.22296,0.000639753,0.000639753,0.000639753
27,24.1311,1e-05,0.75,1,0.37415,0.000656095,0.000656095,0.000656095
28,25.011,0.00578,0.75,1,0.37415,0.000671776,0.000671776,0.000671776
29,25.9037,0.0001,0.5,1,0.74244,0.000686797,0.000686797,0.000686797
30,26.805,1e-05,0.5,1,1.21185,0.000701159,0.000701159,0.000701159
31,27.6928,8e-05,0.5,1,1.21185,0.00071486,0.00071486,0.00071486
32,28.5785,1e-05,0.5,1,1.74386,0.000727901,0.000727901,0.000727901
33,29.4721,0,0.5,1,1.99514,0.000740281,0.000740281,0.000740281
34,30.3538,0,0.5,1,1.99514,0.000752002,0.000752002,0.000752002
35,31.2399,0.02969,0.5,1,1.77025,0.000763063,0.000763063,0.000763063
36,32.1337,1e-05,0.5,1,1.16714,0.000773463,0.000773463,0.000773463
37,33.0173,1e-05,0.5,1,1.16714,0.000783203,0.000783203,0.000783203
38,33.9126,0.00039,0.5,1,1.38234,0.000792283,0.000792283,0.000792283
39,34.8091,0.00016,0.5,1,0.6131,0.000800703,0.000800703,0.000800703
40,35.6925,0.01477,0.5,1,0.6131,0.000808463,0.000808463,0.000808463
41,36.583,0.00028,0.5,1,0.72336,0.000815563,0.000815563,0.000815563
42,37.4739,0.0015,1,1,0.14233,0.000822003,0.000822003,0.000822003
43,38.3557,0.00109,1,1,0.14233,0.000827782,0.000827782,0.000827782
44,39.2473,0.08932,1,1,0.06816,0.000832902,0.000832902,0.000832902
45,40.1331,0,1,1,0.06816,0.000837361,0.000837361,0.000837361
46,41.0231,0.00011,1,1,0.02215,0.00084116,0.00084116,0.00084116
47,41.9082,1e-05,1,1,0.02215,0.000844299,0.000844299,0.000844299
48,42.7985,0.34535,1,1,0.10939,0.000846778,0.000846778,0.000846778
49,43.683,0.03938,1,1,0.10939,0.000848596,0.000848596,0.000848596
50,44.6322,0,0.75,1,0.7213,0.000849755,0.000849755,0.000849755
51,45.5114,0,0.75,1,0.7213,0.000841835,0.000841835,0.000841835
52,46.409,0.00053,0.75,1,1.74956,0.000825332,0.000825332,0.000825332
53,47.2907,0.00231,0.75,1,1.74956,0.000808828,0.000808828,0.000808828
54,48.1833,3e-05,0.75,1,1.27242,0.000792325,0.000792325,0.000792325
55,49.0728,0.00438,0.75,1,1.27242,0.000775822,0.000775822,0.000775822
56,49.9652,0.00018,0.5,1,1.49332,0.000759318,0.000759318,0.000759318
57,50.8493,0.00286,0.5,1,1.49332,0.000742815,0.000742815,0.000742815
58,51.7369,0.15128,0.5,1,0.50233,0.000726312,0.000726312,0.000726312
59,52.6205,0.00167,0.5,1,0.50233,0.000709809,0.000709809,0.000709809
60,53.5139,0.00176,0.75,1,0.9314,0.000693305,0.000693305,0.000693305
61,54.4045,0.22606,0.75,1,0.9314,0.000676802,0.000676802,0.000676802
62,55.2956,5e-05,0.75,1,1.1921,0.000660299,0.000660299,0.000660299
63,56.1783,7e-05,0.75,1,1.1921,0.000643795,0.000643795,0.000643795
64,57.0675,0.18959,0.75,1,1.46475,0.000627292,0.000627292,0.000627292
65,57.9495,0.00813,0.75,1,1.46475,0.000610789,0.000610789,0.000610789
66,58.8403,0.00081,0.75,1,3.0756,0.000594286,0.000594286,0.000594286
67,59.7222,0.00044,0.75,1,3.0756,0.000577782,0.000577782,0.000577782
68,60.6161,0.00281,0.75,1,3.73602,0.000561279,0.000561279,0.000561279
69,61.5011,0.00178,0.75,1,3.73602,0.000544776,0.000544776,0.000544776
70,62.3952,0.00246,0.75,1,4.12004,0.000528272,0.000528272,0.000528272
71,63.2835,1.15727,0.75,1,4.12004,0.000511769,0.000511769,0.000511769
72,64.1796,0.42262,0.75,1,4.65758,0.000495266,0.000495266,0.000495266
73,65.0622,0.00062,0.75,1,4.65758,0.000478762,0.000478762,0.000478762
74,65.9549,0.00089,0.75,1,4.83456,0.000462259,0.000462259,0.000462259
75,66.84,0.11432,0.75,1,4.83456,0.000445756,0.000445756,0.000445756
76,67.7333,0.01474,0.75,1,4.53505,0.000429253,0.000429253,0.000429253
77,68.6119,1.56508,0.75,1,4.53505,0.000412749,0.000412749,0.000412749
78,69.5025,0.00891,0.75,1,3.97726,0.000396246,0.000396246,0.000396246
79,70.3823,0.43086,0.75,1,3.97726,0.000379743,0.000379743,0.000379743
80,71.2739,0.0005,0.75,1,2.80915,0.000363239,0.000363239,0.000363239
81,72.1587,3.30598,0.75,1,2.80915,0.000346736,0.000346736,0.000346736
82,73.0508,0.00267,0.75,1,2.88599,0.000330233,0.000330233,0.000330233
83,73.9309,0.00198,0.75,1,2.88599,0.000313729,0.000313729,0.000313729
84,74.823,0.16451,0.75,1,2.60204,0.000297226,0.000297226,0.000297226
85,75.7066,0.0008,0.75,1,2.60204,0.000280723,0.000280723,0.000280723
86,76.6,0.00016,0.75,1,1.45621,0.00026422,0.00026422,0.00026422
87,77.4836,0.00317,0.75,1,1.45621,0.000247716,0.000247716,0.000247716
88,78.3696,0.17593,0.75,1,0.6334,0.000231213,0.000231213,0.000231213
89,79.2518,0.00048,0.75,1,0.6334,0.00021471,0.00021471,0.00021471
90,80.1405,0.00374,0.75,1,0.47585,0.000198206,0.000198206,0.000198206
91,81.027,0.00045,0.75,1,0.47585,0.000181703,0.000181703,0.000181703
92,81.9166,0.00374,1,1,0.1321,0.0001652,0.0001652,0.0001652
93,82.8014,0.01719,1,1,0.1321,0.000148696,0.000148696,0.000148696
