epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.852096,2e-05,1,1,0.09537,1.667e-05,1.667e-05,1.667e-05
2,1.72596,0.00031,1,1,0.0524,4.95149e-05,4.95149e-05,4.95149e-05
3,2.60547,1e-05,1,1,0.01366,8.16997e-05,8.16997e-05,8.16997e-05
4,3.47587,0,1,1,0.01044,0.000113224,0.000113224,0.000113224
5,4.35721,0,1,1,0.00418,0.000144089,0.000144089,0.000144089
6,5.23573,0.00031,1,1,0.00107,0.000174293,0.000174293,0.000174293
7,6.11844,1e-05,1,1,0.00058,0.000203837,0.000203837,0.000203837
8,7.01468,0.03221,1,1,0.00036,0.000232722,0.000232722,0.000232722
9,7.98761,0,1,1,0.001,0.000260946,0.000260946,0.000260946
10,8.86439,1e-05,1,1,0.00626,0.000288509,0.000288509,0.000288509
11,9.74002,0,1,1,0.01605,0.000315413,0.000315413,0.000315413
12,10.6169,0.00058,1,1,0.05848,0.000341657,0.000341657,0.000341657
13,11.4973,0,1,1,0.06341,0.00036724,0.00036724,0.00036724
14,12.3751,0,1,1,0.09471,0.000392163,0.000392163,0.000392163
15,13.2564,0.00018,1,1,0.16044,0.000416427,0.000416427,0.000416427
16,14.1451,0.02306,0.75,1,0.23607,0.00044003,0.00044003,0.00044003
17,15.0048,0,0.75,1,0.36167,0.000462973,0.000462973,0.000462973
18,15.8788,0.00101,0.75,1,0.52216,0.000485255,0.000485255,0.000485255
19,16.7588,1e-05,0.5,1,0.63252,0.000506878,0.000506878,0.000506878
20,17.6394,5e-05,0.5,1,1.36583,0.000527841,0.000527841,0.000527841
21,18.523,7e-05,0.5,1,1.19327,0.000548143,0.000548143,0.000548143
22,19.4039,1e-05,0.5,1,1.58119,0.000567785,0.000567785,0.000567785
23,20.2877,2e-05,0.5,1,1.10642,0.000586767,0.000586767,0.000586767
24,21.1685,0.31731,0.5,1,1.17246,0.000605089,0.000605089,0.000605089
25,22.0566,0.08721,0.5,1,1.16778,0.000622751,0.000622751,0.000622751
26,22.9715,0.00129,0.75,1,1.11114,0.000639753,0.000639753,0.000639753
27,23.8541,5e-05,0.75,1,1.25029,0.000656095,0.000656095,0.000656095
28,24.7406,0.03367,0.75,1,1.25029,0.000671776,0.000671776,0.000671776
29,25.6256,0.00242,0.75,1,1.74055,0.000686797,0.000686797,0.000686797
30,26.5138,0.89014,0.75,1,2.52663,0.000701159,0.000701159,0.000701159
31,27.3911,0.00011,0.75,1,2.52663,0.00071486,0.00071486,0.00071486
32,28.2739,0,0.5,1,3.26361,0.000727901,0.000727901,0.000727901
33,29.1577,0.00014,0.5,1,3.91089,0.000740281,0.000740281,0.000740281
34,30.0352,0.33428,0.5,1,3.91089,0.000752002,0.000752002,0.000752002
35,30.9189,0.00061,0.5,1,3.32241,0.000763063,0.000763063,0.000763063
36,31.807,3e-05,0.75,1,2.39701,0.000773463,0.000773463,0.000773463
37,32.6845,3e-05,0.75,1,2.39701,0.000783203,0.000783203,0.000783203
38,33.5669,0,0.75,1,2.40889,0.000792283,0.000792283,0.000792283
39,34.4593,0.02211,0.75,1,2.08346,0.000800703,0.000800703,0.000800703
40,35.3417,7e-05,0.75,1,2.08346,0.000808463,0.000808463,0.000808463
41,36.2303,2e-05,0.75,1,1.75338,0.000815563,0.000815563,0.000815563
42,37.1209,0.0002,0.75,1,1.59332,0.000822003,0.000822003,0.000822003
