epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.877193,0.00072,1,1,0.0835,1.667e-05,1.667e-05,1.667e-05
2,1.77772,0.04278,0.75,1,0.21867,4.95149e-05,4.95149e-05,4.95149e-05
3,2.67519,0.01853,1,1,0.0658,8.16997e-05,8.16997e-05,8.16997e-05
4,3.57617,1e-05,1,1,0.12552,0.000113224,0.000113224,0.000113224
5,4.4742,0,0.75,1,0.92963,0.000144089,0.000144089,0.000144089
6,5.37478,0.86247,0.75,1,1.16965,0.000174293,0.000174293,0.000174293
7,6.27535,0.72754,0.75,1,0.90618,0.000203837,0.000203837,0.000203837
8,7.17682,0,0.75,1,0.69877,0.000232722,0.000232722,0.000232722
9,8.06666,0,0.75,1,0.95383,0.000260946,0.000260946,0.000260946
10,8.95715,0,0.75,1,0.91367,0.000288509,0.000288509,0.000288509
11,9.84979,0.2807,0.5,1,1.60481,0.000315413,0.000315413,0.000315413
12,10.7432,1e-05,0.5,1,1.54408,0.000341657,0.000341657,0.000341657
13,11.6346,2e-05,0.5,1,1.42087,0.00036724,0.00036724,0.00036724
14,12.523,0.00461,0.5,1,2.17209,0.000392163,0.000392163,0.000392163
15,13.4134,0,0.5,1,2.20428,0.000416427,0.000416427,0.000416427
16,14.309,0,0.5,1,2.12032,0.00044003,0.00044003,0.00044003
17,15.1983,1e-05,0.5,1,2.19041,0.000462973,0.000462973,0.000462973
18,16.0873,8e-05,0.5,1,2.5428,0.000485255,0.000485255,0.000485255
19,16.9767,0.00072,0.5,1,2.98334,0.000506878,0.000506878,0.000506878
20,17.8715,0.00042,0.5,1,3.79147,0.000527841,0.000527841,0.000527841
21,18.7628,9e-05,0.5,1,2.94334,0.000548143,0.000548143,0.000548143
22,19.6529,0.00011,0.5,1,3.46183,0.000567785,0.000567785,0.000567785
23,20.5436,0.00111,0.5,1,2.41378,0.000586767,0.000586767,0.000586767
24,21.4287,0,0.5,1,2.76567,0.000605089,0.000605089,0.000605089
25,22.318,0.00151,0.5,1,2.47754,0.000622751,0.000622751,0.000622751
26,23.2095,0,0.5,1,3.11642,0.000639753,0.000639753,0.000639753
27,24.1032,2e-05,0.5,1,2.73064,0.000656095,0.000656095,0.000656095
28,24.9837,0.0008,0.5,1,2.73064,0.000671776,0.000671776,0.000671776
29,25.8708,2e-05,0.5,1,3.29217,0.000686797,0.000686797,0.000686797
30,26.7626,0.00064,0.5,1,3.3987,0.000701159,0.000701159,0.000701159
31,27.6429,1.22311,0.5,1,3.3987,0.00071486,0.00071486,0.00071486
32,28.5338,0,0.5,1,3.90277,0.000727901,0.000727901,0.000727901
33,29.4208,3e-05,0.5,1,4.21325,0.000740281,0.000740281,0.000740281
34,30.3024,0,0.5,1,4.21325,0.000752002,0.000752002,0.000752002
35,31.1938,0.23676,0.5,1,3.51467,0.000763063,0.000763063,0.000763063
36,32.0873,0.00156,0.75,1,2.91022,0.000773463,0.000773463,0.000773463
