epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.874555,0.00472,1,1,0.10644,1.667e-05,1.667e-05,1.667e-05
2,1.77583,0.00051,1,1,0.09278,4.95149e-05,4.95149e-05,4.95149e-05
3,2.67206,0.00734,1,1,0.08149,8.16997e-05,8.16997e-05,8.16997e-05
4,3.56547,0.00014,1,1,0.06155,0.000113224,0.000113224,0.000113224
5,4.4638,0.00083,1,1,0.02533,0.000144089,0.000144089,0.000144089
6,5.36371,6e-05,1,1,0.00605,0.000174293,0.000174293,0.000174293
7,6.26619,1e-05,1,1,0.00338,0.000203837,0.000203837,0.000203837
8,7.16709,1e-05,1,1,0.00161,0.000232722,0.000232722,0.000232722
9,8.05794,0,1,1,0.00436,0.000260946,0.000260946,0.000260946
10,8.94981,0,1,1,0.01872,0.000288509,0.000288509,0.000288509
11,9.84079,0,1,1,0.04561,0.000315413,0.000315413,0.000315413
12,10.7336,0,1,1,0.08234,0.000341657,0.000341657,0.000341657
13,11.6293,1e-05,1,1,0.14462,0.00036724,0.00036724,0.00036724
14,12.5217,0.00055,0.75,1,0.32736,0.000392163,0.000392163,0.000392163
15,13.4158,0,1,1,0.12074,0.000416427,0.000416427,0.000416427
16,14.3143,0,1,1,0.12879,0.00044003,0.00044003,0.00044003
17,15.2101,0,0.75,1,0.24807,0.000462973,0.000462973,0.000462973
18,16.1033,0.05299,0.75,1,0.51032,0.000485255,0.000485255,0.000485255
19,16.9937,1e-05,0.75,1,0.49352,0.000506878,0.000506878,0.000506878
20,17.8829,1e-05,0.75,1,0.28875,0.000527841,0.000527841,0.000527841
21,18.7741,0,1,1,0.05556,0.000548143,0.000548143,0.000548143
22,19.6671,0,1,1,0.09958,0.000567785,0.000567785,0.000567785
23,20.5564,0,1,1,0.0006,0.000586767,0.000586767,0.000586767
24,21.4457,0.00017,1,1,0.00064,0.000605089,0.000605089,0.000605089
25,22.3356,2e-05,1,1,2e-05,0.000622751,0.000622751,0.000622751
26,23.2267,0.02944,1,1,1e-05,0.000639753,0.000639753,0.000639753
27,24.122,5e-05,1,1,0,0.000656095,0.000656095,0.000656095
28,25.0159,0.01724,1,1,0,0.000671776,0.000671776,0.000671776
29,25.909,4e-05,1,1,0.00012,0.000686797,0.000686797,0.000686797
30,26.7993,0.0081,1,1,0.00591,0.000701159,0.000701159,0.000701159
31,27.6858,2e-05,1,1,0.00591,0.00071486,0.00071486,0.00071486
32,28.5769,0,0.75,1,0.29149,0.000727901,0.000727901,0.000727901
33,29.4605,0,0.75,1,1.06143,0.000740281,0.000740281,0.000740281
34,30.3471,0,0.75,1,1.06143,0.000752002,0.000752002,0.000752002
35,31.2391,1e-05,0.75,1,1.61361,0.000763063,0.000763063,0.000763063
36,32.1305,0.0001,0.75,1,1.75927,0.000773463,0.000773463,0.000773463
37,33.0114,0,0.75,1,1.75927,0.000783203,0.000783203,0.000783203
38,33.9019,0,0.5,1,2.80115,0.000792283,0.000792283,0.000792283
39,34.8003,1e-05,0.5,1,2.95845,0.000800703,0.000800703,0.000800703
40,35.6856,0.16645,0.5,1,2.95845,0.000808463,0.000808463,0.000808463
41,36.5772,0,0.5,1,3.27139,0.000815563,0.000815563,0.000815563
42,37.472,0.00079,0.5,1,1.77301,0.000822003,0.000822003,0.000822003
43,38.3536,0.00691,0.5,1,1.77301,0.000827782,0.000827782,0.000827782
44,39.24,0.00015,0.5,1,0.5984,0.000832902,0.000832902,0.000832902
45,40.1233,0,0.5,1,0.5984,0.000837361,0.000837361,0.000837361
46,41.0078,0.00011,0.75,1,0.35051,0.00084116,0.00084116,0.00084116
47,41.8837,0,0.75,1,0.35051,0.000844299,0.000844299,0.000844299
48,42.7689,3e-05,1,1,0.08911,0.000846778,0.000846778,0.000846778
49,43.6475,0.0801,1,1,0.08911,0.000848596,0.000848596,0.000848596
50,44.5978,0.01254,0.75,1,0.46225,0.000849755,0.000849755,0.000849755
51,45.475,0,0.75,1,0.46225,0.000841835,0.000841835,0.000841835
52,46.3627,0.16426,0.75,1,0.21346,0.000825332,0.000825332,0.000825332
53,47.2429,0.06681,0.75,1,0.21346,0.000808828,0.000808828,0.000808828
54,48.1316,0,0.75,1,0.65361,0.000792325,0.000792325,0.000792325
55,49.0114,0.04514,0.75,1,0.65361,0.000775822,0.000775822,0.000775822
56,49.9425,0.00061,0.75,1,2.18192,0.000759318,0.000759318,0.000759318
57,50.8239,0.00229,0.75,1,2.18192,0.000742815,0.000742815,0.000742815
58,51.7077,0.01628,0.75,1,2.28798,0.000726312,0.000726312,0.000726312
59,52.5879,0.00274,0.75,1,2.28798,0.000709809,0.000709809,0.000709809
60,53.4778,0.39449,0.75,1,3.73082,0.000693305,0.000693305,0.000693305
61,54.3649,0,0.75,1,3.73082,0.000676802,0.000676802,0.000676802
62,55.264,0.01028,0.75,1,4.96895,0.000660299,0.000660299,0.000660299
63,56.1369,4e-05,0.75,1,4.96895,0.000643795,0.000643795,0.000643795
64,57.0141,0.00166,0.75,1,5.23875,0.000627292,0.000627292,0.000627292
65,57.8779,0.00048,0.75,1,5.23875,0.000610789,0.000610789,0.000610789
66,58.7493,0,0.75,1,5.70986,0.000594286,0.000594286,0.000594286
67,59.6222,1.60976,0.75,1,5.70986,0.000577782,0.000577782,0.000577782
68,60.5014,0.00034,0.75,1,5.77017,0.000561279,0.000561279,0.000561279
69,61.3666,0.11038,0.75,1,5.77017,0.000544776,0.000544776,0.000544776
70,62.2385,4e-05,0.75,1,4.26869,0.000528272,0.000528272,0.000528272
71,63.112,0.00307,0.75,1,4.26869,0.000511769,0.000511769,0.000511769
72,63.9849,7e-05,0.75,1,2.91375,0.000495266,0.000495266,0.000495266
73,64.8604,0,0.75,1,2.91375,0.000478762,0.000478762,0.000478762
74,65.7339,0.36736,0.75,1,2.546,0.000462259,0.000462259,0.000462259
75,66.6186,0,0.75,1,2.546,0.000445756,0.000445756,0.000445756
76,67.5006,0.12586,0.75,1,2.19306,0.000429253,0.000429253,0.000429253
77,68.3831,3e-05,0.75,1,2.19306,0.000412749,0.000412749,0.000412749
78,69.2727,0,0.75,1,2.0892,0.000396246,0.000396246,0.000396246
79,70.1339,0.05569,0.75,1,2.0892,0.000379743,0.000379743,0.000379743
80,71.0017,4e-05,0.75,1,1.88424,0.000363239,0.000363239,0.000363239
81,71.8798,4.96175,0.75,1,1.88424,0.000346736,0.000346736,0.000346736
82,72.7669,0,0.75,1,2.626,0.000330233,0.000330233,0.000330233
83,73.6277,0,0.75,1,2.626,0.000313729,0.000313729,0.000313729
84,74.5212,3e-05,0.75,1,3.08112,0.000297226,0.000297226,0.000297226
85,75.4061,0.01652,0.75,1,3.08112,0.000280723,0.000280723,0.000280723
86,76.2905,0.00044,0.75,1,2.30075,0.00026422,0.00026422,0.00026422
87,77.1773,0.01024,0.75,1,2.30075,0.000247716,0.000247716,0.000247716
88,78.0624,0.00097,0.75,1,1.72643,0.000231213,0.000231213,0.000231213
89,78.9468,0.01799,0.75,1,1.72643,0.00021471,0.00021471,0.00021471
90,79.8414,0.09422,0.75,1,2.00896,0.000198206,0.000198206,0.000198206
91,80.7266,0.00106,0.75,1,2.00896,0.000181703,0.000181703,0.000181703
92,81.609,0,0.75,1,1.70276,0.0001652,0.0001652,0.0001652
93,82.4915,4e-05,0.75,1,1.70276,0.000148696,0.000148696,0.000148696
94,83.3838,0.00041,0.75,1,1.54648,0.000132193,0.000132193,0.000132193
95,84.2668,0.00867,0.75,1,1.54648,0.00011569,0.00011569,0.00011569
96,85.1591,0.00274,0.75,1,1.11552,9.91865e-05,9.91865e-05,9.91865e-05
97,86.0461,9e-05,0.75,1,1.11552,8.26832e-05,8.26832e-05,8.26832e-05
98,86.9391,0.14127,0.75,1,1.3273,6.61799e-05,6.61799e-05,6.61799e-05
99,87.8191,0,0.75,1,1.3273,4.96766e-05,4.96766e-05,4.96766e-05
100,88.7046,1e-05,0.75,1,1.93376,3.31733e-05,3.31733e-05,3.31733e-05
