epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.870505,0,1,1,0.07106,1.667e-05,1.667e-05,1.667e-05
2,1.77605,0,1,1,0.04833,4.95149e-05,4.95149e-05,4.95149e-05
3,2.67654,0.02239,1,1,0.11458,8.16997e-05,8.16997e-05,8.16997e-05
4,3.57222,0,0.75,1,0.33317,0.000113224,0.000113224,0.000113224
5,4.47082,0,0.75,1,0.29112,0.000144089,0.000144089,0.000144089
6,5.37223,0,1,1,0.06469,0.000174293,0.000174293,0.000174293
7,6.27616,0,1,1,0.04359,0.000203837,0.000203837,0.000203837
8,7.17776,0,1,1,0.06908,0.000232722,0.000232722,0.000232722
9,8.0707,0,0.75,1,0.18454,0.000260946,0.000260946,0.000260946
10,8.96899,0,0.75,1,0.38317,0.000288509,0.000288509,0.000288509
11,9.86257,0,0.75,1,0.75342,0.000315413,0.000315413,0.000315413
12,10.8056,0,0.75,1,0.90927,0.000341657,0.000341657,0.000341657
13,11.7118,0,0.75,1,1.19011,0.00036724,0.00036724,0.00036724
14,12.6069,0,0.75,1,1.61364,0.000392163,0.000392163,0.000392163
15,13.4951,0,0.75,1,1.39641,0.000416427,0.000416427,0.000416427
16,14.3863,0,0.75,1,1.45227,0.00044003,0.00044003,0.00044003
17,15.2723,0,0.75,1,1.72416,0.000462973,0.000462973,0.000462973
18,16.1548,0,0.75,1,1.87602,0.000485255,0.000485255,0.000485255
19,17.0453,0,0.75,1,2.19313,0.000506878,0.000506878,0.000506878
20,17.9363,0,0.75,1,2.45918,0.000527841,0.000527841,0.000527841
21,18.8204,0,0.75,1,2.2067,0.000548143,0.000548143,0.000548143
22,19.6998,0,0.75,1,2.69587,0.000567785,0.000567785,0.000567785
23,20.5835,0,0.75,1,2.10931,0.000586767,0.000586767,0.000586767
24,21.4712,0,0.75,1,1.97657,0.000605089,0.000605089,0.000605089
25,22.3602,6e-05,0.75,1,1.74157,0.000622751,0.000622751,0.000622751
26,23.253,0,0.75,1,2.28043,0.000639753,0.000639753,0.000639753
27,24.1364,0,0.75,1,2.22996,0.000656095,0.000656095,0.000656095
28,25.0177,0,0.75,1,2.22996,0.000671776,0.000671776,0.000671776
29,25.9066,0,0.75,1,2.56504,0.000686797,0.000686797,0.000686797
30,26.7961,0,0.75,1,2.78052,0.000701159,0.000701159,0.000701159
31,27.675,2e-05,0.75,1,2.78052,0.00071486,0.00071486,0.00071486
32,28.5621,0,0.75,1,2.96747,0.000727901,0.000727901,0.000727901
33,29.4486,0,0.75,1,3.09987,0.000740281,0.000740281,0.000740281
34,30.3278,0,0.75,1,3.09987,0.000752002,0.000752002,0.000752002
35,31.2119,0,0.75,1,3.13702,0.000763063,0.000763063,0.000763063
36,32.1022,0,0.75,1,2.82121,0.000773463,0.000773463,0.000773463
37,32.9859,0,0.75,1,2.82121,0.000783203,0.000783203,0.000783203
38,33.8918,0,0.75,1,2.81122,0.000792283,0.000792283,0.000792283
39,34.7837,0,0.75,1,2.44249,0.000800703,0.000800703,0.000800703
40,35.6711,3e-05,0.75,1,2.44249,0.000808463,0.000808463,0.000808463
41,36.5699,0,0.75,1,2.55547,0.000815563,0.000815563,0.000815563
42,37.4732,0,0.75,1,2.20756,0.000822003,0.000822003,0.000822003
43,38.355,0.00572,0.75,1,2.20756,0.000827782,0.000827782,0.000827782
44,39.2438,0,0.75,1,2.20378,0.000832902,0.000832902,0.000832902
45,40.1147,0,0.75,1,2.20378,0.000837361,0.000837361,0.000837361
46,40.9896,0,0.75,1,2.23573,0.00084116,0.00084116,0.00084116
47,41.8639,0,0.75,1,2.23573,0.000844299,0.000844299,0.000844299
48,42.7331,0,0.75,1,2.20708,0.000846778,0.000846778,0.000846778
49,43.5938,3e-05,0.75,1,2.20708,0.000848596,0.000848596,0.000848596
50,44.5254,0,0.75,1,2.56643,0.000849755,0.000849755,0.000849755
51,45.3927,0,0.75,1,2.56643,0.000841835,0.000841835,0.000841835
52,46.2703,0,0.75,1,2.40644,0.000825332,0.000825332,0.000825332
53,47.1367,1e-05,0.75,1,2.40644,0.000808828,0.000808828,0.000808828
54,48.0204,2e-05,0.75,1,2.45982,0.000792325,0.000792325,0.000792325
55,48.8933,0,0.75,1,2.45982,0.000775822,0.000775822,0.000775822
56,49.7735,0,0.75,1,2.95737,0.000759318,0.000759318,0.000759318
57,50.6372,0.41436,0.75,1,2.95737,0.000742815,0.000742815,0.000742815
58,51.5254,1e-05,0.75,1,2.76113,0.000726312,0.000726312,0.000726312
59,52.411,0,0.75,1,2.76113,0.000709809,0.000709809,0.000709809
60,53.2877,0,0.75,1,2.68615,0.000693305,0.000693305,0.000693305
61,54.1555,0,0.75,1,2.68615,0.000676802,0.000676802,0.000676802
62,55.0471,0,0.75,1,3.27165,0.000660299,0.000660299,0.000660299
63,55.9142,0,0.75,1,3.27165,0.000643795,0.000643795,0.000643795
64,56.7857,0,0.75,1,3.07098,0.000627292,0.000627292,0.000627292
65,57.6743,7e-05,0.75,1,3.07098,0.000610789,0.000610789,0.000610789
66,58.563,0,0.75,1,2.47756,0.000594286,0.000594286,0.000594286
67,59.4254,0,0.75,1,2.47756,0.000577782,0.000577782,0.000577782
68,60.3128,0,0.75,1,2.71301,0.000561279,0.000561279,0.000561279
69,61.1941,0,0.75,1,2.71301,0.000544776,0.000544776,0.000544776
70,62.0853,0,0.75,1,3.23558,0.000528272,0.000528272,0.000528272
71,62.9692,2e-05,0.75,1,3.23558,0.000511769,0.000511769,0.000511769
72,63.8564,0,0.75,1,2.46083,0.000495266,0.000495266,0.000495266
73,64.7421,0,0.75,1,2.46083,0.000478762,0.000478762,0.000478762
74,65.6374,0,0.75,1,2.46926,0.000462259,0.000462259,0.000462259
75,66.5224,0,0.75,1,2.46926,0.000445756,0.000445756,0.000445756
76,67.4128,2e-05,0.75,1,2.31166,0.000429253,0.000429253,0.000429253
77,68.2953,0,0.75,1,2.31166,0.000412749,0.000412749,0.000412749
78,69.1828,0,0.75,1,2.85385,0.000396246,0.000396246,0.000396246
79,70.0621,2e-05,0.75,1,2.85385,0.000379743,0.000379743,0.000379743
80,70.9539,0,0.75,1,2.98383,0.000363239,0.000363239,0.000363239
81,71.8401,4.26541,0.75,1,2.98383,0.000346736,0.000346736,0.000346736
82,72.716,0,0.75,1,3.34757,0.000330233,0.000330233,0.000330233
83,73.5948,0.0005,0.75,1,3.34757,0.000313729,0.000313729,0.000313729
84,74.4876,0,0.75,1,3.05917,0.000297226,0.000297226,0.000297226
85,75.3735,0,0.75,1,3.05917,0.000280723,0.000280723,0.000280723
86,76.2635,0,0.75,1,2.10051,0.00026422,0.00026422,0.00026422
87,77.1484,9e-05,0.75,1,2.10051,0.000247716,0.000247716,0.000247716
88,78.046,0,0.75,1,1.18901,0.000231213,0.000231213,0.000231213
89,78.9315,0,0.75,1,1.18901,0.00021471,0.00021471,0.00021471
90,79.8234,0.17261,0.75,1,1.30244,0.000198206,0.000198206,0.000198206
91,80.7191,0.0001,0.75,1,1.30244,0.000181703,0.000181703,0.000181703
92,81.6194,0,0.75,1,0.84316,0.0001652,0.0001652,0.0001652
93,82.5022,0.00627,0.75,1,0.84316,0.000148696,0.000148696,0.000148696
94,83.3902,0,0.75,1,0.60159,0.000132193,0.000132193,0.000132193
95,84.2762,0,0.75,1,0.60159,0.00011569,0.00011569,0.00011569
96,85.1653,1e-05,1,1,0.1572,9.91865e-05,9.91865e-05,9.91865e-05
97,86.0489,0,1,1,0.1572,8.26832e-05,8.26832e-05,8.26832e-05
98,86.9475,4e-05,0.75,1,0.40186,6.61799e-05,6.61799e-05,6.61799e-05
99,87.836,0,0.75,1,0.40186,4.96766e-05,4.96766e-05,4.96766e-05
100,88.7249,6e-05,0.75,1,1.31317,3.31733e-05,3.31733e-05,3.31733e-05
